bound_scope,change_error_pp,method,observed_change,observed_target,operation,predicted_change,predicted_change_lower,predicted_change_upper,probability,reason,source_campaign_id,source_current_probability,status,target_campaign_id,target_error_pp,target_inputs_used_for_forecast,target_lower,target_upper
unrestricted target business-event law; not a confidence interval,,G0,0.0016666666666667052,0.9083333333333333,read_user_timeline,,-1.0,0.0,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/1,1.0,unsupported,v3-main-771601/deathstarbench_social_network/split/N/1,,False,0,1
unrestricted target business-event law; not a confidence interval,,B0,0.0016666666666667052,0.9083333333333333,read_user_timeline,,-0.8891666666666667,0.11083333333333334,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/1,0.8891666666666667,unsupported,v3-main-771601/deathstarbench_social_network/split/N/1,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX,0.0016666666666667052,0.9083333333333333,read_user_timeline,,-0.8891666666666667,0.11083333333333334,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/1,0.8891666666666667,unsupported,v3-main-771601/deathstarbench_social_network/split/N/1,,False,0,1
unrestricted target business-event law; not a confidence interval,,PMX_inclusive,0.0016666666666667052,0.9083333333333333,read_user_timeline,,-0.8891666666666667,0.11083333333333334,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/1,0.8891666666666667,unsupported,v3-main-771601/deathstarbench_social_network/split/N/1,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gstar,-0.0033333333333332993,0.9283333333333333,compose_post,,-0.94,0.06000000000000005,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,0.94,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,GID,-0.0033333333333332993,0.9283333333333333,compose_post,,-1.0,0.0,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,1.0,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,Gselected,-0.0033333333333332993,0.9283333333333333,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_deadline,-0.0033333333333332993,0.9283333333333333,compose_post,,-0.9991666666666666,0.0008333333333333526,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,0.9991666666666666,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_selection,-0.0033333333333332993,0.9283333333333333,compose_post,,-0.94,0.06000000000000005,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,0.94,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
unrestricted target business-event law; not a confidence interval,,G_without_completion,-0.0033333333333332993,0.9283333333333333,compose_post,,,,,changed_placement_joint_law_not_identified_from_source_calibration,v3-main-771601/deathstarbench_social_network/colocated/N/2,,unsupported,v3-main-771601/deathstarbench_social_network/split/N/2,,False,0,1
